segment_id,project,module,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,any_smell
P-A_R00051,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00052,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00053,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00054,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00055,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00056,P-A,AM,0,1,1,0,0,0,0,1,0,0,0,1
P-A_R00057,P-A,AM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00058,P-A,AM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00059,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00060,P-A,AM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00061,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00062,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00063,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00064,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00065,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00066,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00067,P-A,BM,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00068,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00069,P-A,BM,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00070,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00071,P-A,BM,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00072,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00073,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00074,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00075,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00076,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00077,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00078,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00079,P-A,BM,0,1,1,1,0,0,0,0,0,0,1,1
P-A_R00080,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00081,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00082,P-A,BM,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00083,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00084,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00085,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00086,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00087,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00088,P-A,BM,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00089,P-A,BM,0,0,0,0,0,0,0,0,0,0,1,1
P-A_R00090,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00091,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00092,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00093,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00094,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00095,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00096,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00097,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00098,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00099,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00100,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00101,P-A,BM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00102,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00103,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00104,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00105,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00106,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00107,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00108,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00109,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00110,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00111,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00112,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00113,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00114,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00115,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00116,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00117,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00118,P-A,BM,0,0,0,0,0,0,0,0,0,1,0,1
P-A_R00119,P-A,BM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00120,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00121,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00122,P-A,BM,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00123,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00124,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00125,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00126,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00127,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00128,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00129,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00130,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00131,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00132,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00133,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00134,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00135,P-A,BM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00136,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00137,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00138,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00139,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00140,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00141,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00142,P-A,BM,0,0,0,0,0,0,0,0,0,1,0,1
P-A_R00143,P-A,BM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00144,P-A,BM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00145,P-A,BM,0,0,0,0,0,0,0,0,0,1,0,1
P-A_R00146,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00147,P-A,BM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00148,P-A,BM,0,0,0,0,0,0,0,0,0,1,0,1
P-A_R00149,P-A,BM,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00150,P-A,BM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00151,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00152,P-A,CA,0,0,0,0,0,0,0,0,1,0,1,1
P-A_R00153,P-A,CA,0,1,0,0,0,0,0,0,0,1,1,1
P-A_R00154,P-A,CA,0,0,0,1,0,0,1,0,0,0,0,1
P-A_R00155,P-A,CA,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00156,P-A,CA,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00157,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00158,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00159,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00160,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00161,P-A,CA,0,0,0,0,0,0,0,0,1,0,1,1
P-A_R00162,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00163,P-A,CA,0,0,0,0,0,0,0,0,0,0,1,1
P-A_R00164,P-A,CA,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00165,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00166,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00167,P-A,CA,0,0,0,0,0,0,0,0,0,0,1,1
P-A_R00168,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00169,P-A,CA,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00170,P-A,CA,0,0,0,0,0,0,0,0,0,0,1,1
P-A_R00171,P-A,CA,0,0,0,0,0,1,0,0,0,1,0,1
P-A_R00172,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00173,P-A,CA,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00174,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00175,P-A,CA,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00176,P-A,CA,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00177,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00178,P-A,CA,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00179,P-A,CA,0,1,0,0,0,1,0,0,0,0,0,1
P-A_R00180,P-A,CA,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00181,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00182,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00183,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00184,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00185,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00186,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00187,P-A,CF,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00188,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00189,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00190,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00191,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00192,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00193,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00194,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00195,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00196,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00197,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00198,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00199,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00200,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00201,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00202,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00203,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00204,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00205,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00206,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00207,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00208,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00209,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00210,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00211,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00212,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00213,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00214,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00215,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00216,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00217,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00218,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00219,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00220,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00221,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00222,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00223,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00224,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00225,P-A,CF,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00226,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00227,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00228,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00229,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00230,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00231,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00232,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00233,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00234,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00235,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00236,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00237,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00238,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00239,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00240,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00241,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00242,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00243,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00244,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00245,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00246,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00247,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00248,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00249,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00250,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00251,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00252,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00253,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00254,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00255,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00256,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00257,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00258,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00259,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00260,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00261,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00262,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00263,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00264,P-A,CF,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00265,P-A,CF,0,1,1,0,0,0,0,1,0,0,0,1
P-A_R00266,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00267,P-A,CF,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00268,P-A,CF,0,1,0,0,0,0,0,1,0,0,0,1
P-A_R00269,P-A,CF,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00270,P-A,CF,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00271,P-A,CI,0,1,0,0,0,0,0,0,0,0,0,1
P-A_R00272,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00273,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00274,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00275,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00276,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00277,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00278,P-A,CI,0,1,1,0,0,1,1,0,0,0,0,1
P-A_R00279,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00280,P-A,CI,0,1,1,0,0,1,0,0,0,1,0,1
P-A_R00281,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00282,P-A,CI,0,1,1,0,1,1,0,0,0,0,0,1
P-A_R00283,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00284,P-A,CI,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00285,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00286,P-A,CI,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00287,P-A,CI,0,1,0,0,0,0,0,1,0,0,0,1
P-A_R00288,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00289,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00290,P-A,CI,0,1,1,0,0,0,0,1,0,1,0,1
P-A_R00291,P-A,CI,0,1,0,0,0,0,0,0,0,0,0,1
P-A_R00292,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00293,P-A,CI,0,1,0,0,0,0,0,1,0,0,0,1
P-A_R00294,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00295,P-A,CI,0,1,0,0,0,0,0,0,0,0,0,1
P-A_R00296,P-A,CI,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00297,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00298,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00299,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00300,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00301,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00302,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00303,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00304,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00305,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00306,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00307,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00308,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00309,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00310,P-A,CI,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00311,P-A,CI,0,1,0,0,0,0,0,1,1,0,0,1
P-A_R00312,P-A,CI,0,1,1,0,0,0,0,1,1,0,1,1
P-A_R00313,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00314,P-A,CI,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00315,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00316,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00317,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00318,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00319,P-A,CI,0,1,1,1,0,1,0,0,0,0,0,1
P-A_R00320,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00321,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00322,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00323,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00324,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00325,P-A,CI,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00326,P-A,CM,0,1,1,0,0,0,0,0,1,1,1,1
P-A_R00327,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00328,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00329,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00330,P-A,CM,0,0,0,0,0,1,0,0,0,1,0,1
P-A_R00331,P-A,CM,0,0,0,0,0,1,0,0,0,1,0,1
P-A_R00332,P-A,CM,0,0,0,0,0,1,0,0,0,1,0,1
P-A_R00333,P-A,CM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00334,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00335,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00336,P-A,CM,0,1,1,0,0,0,1,0,0,0,0,1
P-A_R00337,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00338,P-A,CM,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00339,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00340,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00341,P-A,CM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00342,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00343,P-A,CM,0,0,0,0,0,1,0,0,0,0,0,1
P-A_R00344,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00345,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00346,P-A,CM,0,1,1,0,0,1,0,0,0,0,1,1
P-A_R00347,P-A,CM,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00348,P-A,CM,0,0,0,0,0,1,0,0,0,0,1,1
P-A_R00349,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00350,P-A,CM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00351,P-A,CM,0,0,0,0,0,0,0,0,0,1,0,1
P-A_R00352,P-A,CM,0,0,0,0,0,1,0,0,0,1,0,1
P-A_R00353,P-A,CM,0,1,1,0,0,1,0,0,0,1,0,1
P-A_R00354,P-A,CM,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00355,P-A,DM,0,1,1,0,0,0,0,1,0,0,0,1
P-A_R00356,P-A,DM,0,0,0,0,0,0,0,1,0,0,0,1
